term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	~R	+I	-O	+U	-D	Phased Sortal	Butterfly is anti-rigid (~R) because it represents a specific life-cycle phase of a lepidopteran; an instance can cease to be a butterfly without ceasing to exist (e.g., if it were possible to revert to a caterpillar). It carries identity (+I) but does not supply its own global identity condition (-O), instead inheriting it from its rigid type (e.g., Lepidopteran). It is a whole (+U) and is not externally dependent (-D) in the same way a role like 'Student' is.	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	-U	-D	Attribution	Red is a non-sortal property that is anti-rigid (~R); an object that is red can typically change color and remain the same individual. It does not carry or supply an identity condition (-I, -O) as we do not identify 'reds' as distinct individuals independently of the objects they characterize. It lacks a unity condition (-U) because the concept of a 'red' does not define what constitutes a whole entity, and while it describes a quality, it is not externally dependent (+D) in the sense of requiring the existence of a specific separate entity to exist.	
Food	http://example.org/guarino-messy#Food	~R	+I	-O	-U	+D	Material Role	Food is a role property because its instances do not necessarily remain food (anti-rigid); an apple is food, but if it rots or is incinerated, the matter persists while the function of being 'food' ceases. It is externally dependent on a consumer (the being for whom it is food). It carries identity (+I) inherited from the underlying substance or object (like an apple or a steak) but does not supply its own unique identity condition (-O). It is non-unitary (-U) because food can refer to both discrete wholes, like a loaf of bread (+U), or masses, like flour (~U).	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Type (Sortal)	Animal is a rigid property because an instance cannot cease to be an animal without ceasing to exist. According to the framework, it is a Type because it supplies its own identity conditions (it is a primary sortal used to individuate instances) and carries a unity condition (it is an intrinsic whole, typically with functional and morphological unity). It is naturally independent as its existence does not require a relationship with a specific external property.	
RedApple	http://example.org/guarino-messy#RedApple	+R	+I	-O	+U	-D	Quasi-type	RedApple is rigid (+R) because if an entity is a red apple, it is essentially an apple (though its color might change in some conceptualizations, as a specific biological kind here it is treated as a sub-kind of Apple). It carries identity (+I) inherited from the type 'Apple', but it does not supply its own unique identity condition (-O) separate from the general identity of apples. It carries a unity condition (+U) because a red apple is a discrete physical whole. It is independent (-D) as its existence does not require the existence of a separate, non-constituent entity.	
Group	http://example.org/guarino-messy#Group	+R	+I	-O	+U	-D	Quasi-type	A Group is rigid (+R) because if an entity ceases to be a group, it loses its ontological nature. It carries identity (+I) inherited from its member types or the collection's structure, but it generally does not supply its own unique identity condition (-O), as identity is often derived from its constituents or a more specific type (e.g., Organization). It carries a unity condition (+U) because a group is defined as a whole through a specific social or structural relation, but it is not dependent (+D) in the sense of a role like Student—it can exist independently of other external properties.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Type	Based on the taxonomy cleaning example in the text, Country is treated as a Type. It is rigid (+R) because if an entity ceases to be a country, it ceases to exist as that specific entity. It supplies its own identity conditions (+O, +I) often based on political and geographical boundaries, and it exhibits social/political unity (+U) as a functional whole. It is considered independent (-D) in this context as it does not require a specific external instance to exist in the way a Role does.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	+I	+O	~U	-D	Type / Sortal	AmountOfMatter is considered Rigid (+R) because if an entity is an amount of matter, it cannot cease to be so without specifically ceasing to exist. It supplies its own Identity Condition (+O/+I) based on mereological extensionality (the same parts). It is Anti-Unity (~U) because it is strictly an aggregate/sum where any part is also an amount of matter, and it lacks a unifying relation that makes it a 'whole' (unlike a Physical Object). It is not notchally dependent on other properties for its existence (-D).	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	-O	+U	-D	Quasi-type	PhysicalObject is rigid (+R) because if something is a physical object, it cannot cease to be one without ceasing to exist. It carries identity (+I) because its instances are discernible, but it typically does not supply its own unique identity condition (-O), instead inheriting or yielding to more specific types like Person or Table (making it a Quasi-type or Category depending on the granularity of the IC). It is unifying (+U) as it refers to isolated material entities that are intrinsic wholes, and it is independent (-D) as it does not rely on the existence of an external property to be defined.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	-O	+U	-D	Quasi-type	A GroupOfPeople is a rigid property (+) as the group itself cannot cease to be a group of people without losing its essence. It carries identity (+I) inherited from the sortals of its members/structure, but as a plural entity or collective, it typically does not supply its own unique identity condition separate from its members (-O). It carries a unity condition (+U) because the members are bound together by a specific plural/social relation to form a whole. It is independent (-D) as it does not require an external entity to exist beyond its own constituents.	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Type	LivingBeing is a rigid property because an instance cannot cease to be a living being without ceasing to exist (it is essential to its instances). It supplies its own identity conditions (+O, +I) distinct from non-living physical objects, typically involves functional unity (+U) as an organism (a whole), and is not notionally dependent on external entities for its definition (-D).	
SocialEntity	http://example.org/guarino-messy#SocialEntity	+R	+I	-O	+U	-D	Quasi-type	In the provided framework, Social Entity is treated as a rigid property (+R) because if something is a social entity, it must be one to exist as that entity. It carries identity (+I) inherited from the types it subsumes (like Organization or Country), but it does not supply its own unique global identity condition (-O) that covers all possible social entities. It carries a unity condition (+U) because social entities are conceived as pluralities exhibiting a specific 'social unity' (wholeness), and it is considered independent (-D) relative to the specific 'external notional dependence' defined for roles.	
Location	http://example.org/guarino-messy#Location	+R	-I	-O	-U	-D	Category	Location is treated as a Category in the Guarino-Welty framework. It is rigid (+R) because if something is a location, it cannot cease to be one while existing. However, it is a non-sortal (-I) because it does not carry a specific identity condition (spatial and temporal regions have different identity criteria). It is non-unifying (-U) because a location (like a region) can be a single whole or a disconnected collection of parts without a single unifying relation common to all instances.	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	-O	+U	-D	Quasi-type	Fruit is a rigid property (+R) because if an object is a fruit, it cannot cease to be a fruit without ceasing to be that kind of thing. It carries identity (+I) as a sortal, but it is classified as a Quasi-type (-O) because it typically inherits its identity conditions from more specific types (like 'Apple' or 'Orange') or a higher-level biological type. It has a unity condition (+U) because a fruit is an intrinsic whole (a morphological/biological unity), and it is not externally dependent (-D) on another entity for its existence in the same way a 'Child' depends on a 'Parent'.	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	-O	+U	-D	Quasi-Type	Vertebrate is a rigid property (+R) because if an entity is a vertebrate, it cannot cease to be one without ceasing to exist. It carries identity (+I) because it is a sortal, but it typically does not supply its own global identity condition (-O), instead inheriting it from a more specific Type like 'Animal' or 'Species'. It carries a unity condition (+U) as its instances (biological organisms) are intrinsic wholes, and it is independent (-D) as its existence does not require a specific external relationship.	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	+I	-O	+U	-D	Phased Sortal	A Caterpillar is anti-rigid because an entity (a Lepidopteran) can cease being a caterpillar (by becoming a butterfly) without ceasing to exist. It carries identity (+I) inherited from its subsuming Type, but does not supply its own global identity condition (-O). It is a whole (+U) and is not externally dependent (-D) as its existence does not require a separate external entity in the way a Role does.	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Type (Rigid Sortal)	In the Guarino-Welty framework, PERSON is the prototypical Type. It is rigid because an instance cannot cease to be a person without ceasing to exist. It supplies its own identity conditions (e.g., fingerprints or DNA) and has a functional/biological unity (it is a whole, not a mere aggregate). It is independent as its existence does not notionally depend on another external property.	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	+I	-O	-U	+D	Material Role	LegalAgent is anti-rigid (~R) because an entity (like a Person) can move in and out of the capacity of being a legal agent without ceasing to exist as that entity. It carries identity (+I) because its instances (Persons or Organizations) have identity conditions, but it does not supply them (-O), inheriting them from the underlying rigid Types. It is externally dependent (+D) because it exists only within a legal/contractual framework. It is marked -U because its instances (diverse entities like people and corporations) do not share a single, common unity condition.	
Entity	http://example.org/guarino-messy#Entity	+R	-I	-O	-U	-D	Category	As the most general property in many ontologies, Entity is rigid (+R) because if something is an entity, it cannot cease to be one without ceasing to exist. It does not carry or supply a specific identity condition (-I, -O) or unity condition (-U) because it subsumes a vast variety of disjoint sortals with incompatible identity and unity criteria (e.g., both abstract and physical things). It is independent (-D) as it does not require a specific external property to be instantiated.	
Organization	http://example.org/guarino-messy#Organization	+R	+I	+O	+U	-D	Type	Organization is a rigid property because if an entity is an organization, it cannot cease to be one without losing its identity. It supplies its own identity conditions (+O) based on legal registration or social charter, which are distinct from the identities of its individual members. It carries a unity condition (+U) because it is a social whole with a specific internal structure (functional unity), rather than just a mereological sum of people. While it requires members to exist, it is typically viewed as an independent social entity (-D) in this ontological framework, as it does not require a specific external 'other' property to exist in the same way a 'Student' requires a 'School'.	
Agent	http://example.org/guarino-messy#Agent	~R	-I	-O	-U	+D	Formal Role	In this ontology, Agent is considered anti-rigid (~R) because an entity is only an agent while performing an action; it is not essential to the entity's existence. It is externally dependent (+D) on an action or a patient. Because it can be applied to diverse entities (people, robots, software) that do not share a single identity condition, it does not carry identity (-I) or supply it (-O). It is a non-sortal, specifically a Formal Role.	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Type	Apple is a rigid property (+R) because an instance of an apple cannot cease to be an apple without losing its identity (it is essential to its instances). It supplies its own identity condition (+O, which implies +I) to distinguish one apple from another. It carries a unity condition (+U) because it is a physical whole with a morphological boundary (skin). It is not externally dependent (-D) as its existence does not logically require a specific external entity that is not a part or constituent of itself.	
