term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Butterfly"" refers to a specific category of insect belonging to the order Lepidoptera known for their distinct wing patterns and lifecycle stages, including metamorphosis. As a biological category, being a butterfly is essential to an entity's existence; if something is classified as a butterfly, it cannot change into something that is not a butterfly and still be that entity (+R). Furthermore, butterflies carry identity conditions through their biological characteristics (e.g., morphology, genetics) that allow us to identify them as individual butterflies over time (+I). The term ""Butterfly"" supplies unique identity criteria, distinguishing different species of butterflies and allowing us to track their life processes and continuity (+O). Butterflies are also unified entities, as their parts contribute to the overall function and existence of the whole organism (+U). While butterflies depend on their environments for survival, the concept of a butterfly itself can exist independently without needing specific objects or entities to uphold its category (-D)."	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	-U	-D	Quality/Attribute	"""Red"" is a property or quality that can apply to various objects. It does not represent a specific, rigid entity since objects can change colors (e.g., a red object could be painted a different color). Thus, the property of being red is not essential to the identity of the objects it describes, rendering it anti-rigid (~R). It does not carry identity criteria itself; instead, it relies on objects that possess this quality for identification, which gives it a value of -I (no identity). Additionally, ""Red"" does not provide its own identity conditions; it does not define what an object is beyond its color (-O). The instances of the quality ""Red"" can exist in an unbounded manner; they can be scattered across various objects without being a cohesive whole, leading to an evaluation of -U (Non-Unifying). Lastly, ""Red"" does not depend on other entities to exist as a property; it pertains to any object that can exhibit the quality, thus making it -D (Independent)."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	-U	-D	Mixin	"""Food"" is a general term that refers to any substance that can be consumed to provide nutritional support for the body. It includes a vast range of items such as fruits, vegetables, grains, meats, and processed goods. As a category, food items can vary in their properties and can be sourced from different origins. Rigidity: An instance of food does not have to remain the same in its properties; it can be transformed (e.g., raw vegetables can be cooked) while still being considered food, making it non-rigid (-R). Identity: Food does carry some identity criteria, as it can be identified based on its type and nutritional content (+I). However, it does not supply any unique identity criteria specific to itself; it typically derives this from the ingredients or type of food involved (-O). Unity: Food items can exist individually and don't necessarily need to form a coherent whole, as they can be a collection of items on a plate or meal; thus, they are not fundamentally unified (-U). Dependence: Food items depend on particular contexts for consumption but can exist independently on their own as entities in the environment (-D)."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	-O	+U	-D	Sortal (Natural Kind)	"""Animal"" refers to a biological category encompassing a wide range of living organisms that exhibit characteristics such as movement, growth, respiration, and reproduction. The concept of ""Animal"" is rigid because an entity cannot cease to be an animal and still be the same entity; if it loses its animal characteristics, it would no longer exist as an animal (+R). The property carries identity criteria as animals can be tracked and identified across time and different possible worlds based on biological traits (+I). ""Animal"" does not supply unique identity conditions since it derives its identity from belonging to broader biological classifications and does not define specific unique criteria for itself (-O). Animals are generally considered unified entities with cohesive organization and functioning parts for survival and growth (+U). Additionally, individual animals can exist without depending on other entities, standing alone as independent organisms (-D)."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	"""RedApple"" represents both a specific type of apple and a color attribute. The property of being red is not essential to the identity of an apple; an apple could be green or yellow and still be the same apple. Thus, the rigidity of ""RedApple"" is anti-rigid (~R). The concept carries identity because it is identifiable as a kind of apple, inheriting identity from the sortal ""Apple"" (+I). However, it does not supply its own unique criteria for identity, as the essence is drawn from ""Apple"" (-O). An apple is a coherent whole, hence it maintains unity within its biological structure (+U). Finally, a red apple can exist independently of other entities, meaning it does not depend on other entities to exist (-D)."	
Group	http://example.org/guarino-messy#Group	~R	+I	-O	-U	+D	Collective	"""Group"" refers to a collection of entities that are gathered together based on some criterion, which can be variable and context-dependent. As such, the concept of a group is not essential to its members; entities can be part of a group one moment and not part of it the next, making it anti-rigid (~R). The instances forming a group have identity based on the individuals in that group (+I), but a group does not supply its own identity condition - it derives identity from its members and their relationships (-O). Groups are generally seen as aggregates without intrinsic cohesion, making them non-unifying (-U). Groups cannot exist independently as they require members to constitute themselves, hence they are dependent (+D)."	
Country	http://example.org/guarino-messy#Country	+R	+I	-O	+U	+D	Sortal	"""Country"" refers to a politically defined territory characterized by a defined geographical boundary, governance, and population. A country cannot simply lose its status and continue to exist as the same entity; if a geographical area loses its recognition as a country, it would typically cease to exist in its current form, making it +R (Rigid). Countries have criteria for identity through elements such as borders, governance, and recognition by other states, thus carrying identity (+I). However, a country does not supply its own unique identity condition distinct from the criteria of political entities and definitions, making it -O (does not supply own identity). Unity is present as countries are defined wholes with integrated political, social, and economic systems, making it +U (Unifying). Countries, however, are dependent on recognition and interaction with other entities such as international organizations for their status, making them +D (Dependent)."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	-U	-D	Property	"""AmountOfMatter"" refers to a quantitative measure of mass or substance within an object or system. It is not an essential property of any individual entity that corresponds to a singular identity, as it can vary based on context (e.g., an object can lose or gain mass through various processes). Therefore, it does not qualify as rigid (+R), leading to a classification of it being non-rigid (-R) as it can change while still referring to the same object over different times and contexts. It does not carry criteria for individual identity of instances, making it -I as it lacks consistent identity tracking across instances. Since ""AmountOfMatter"" does not supply its own independent identity criteria (it derives from the matter its measuring), it is classified as -O. In terms of unity, while it relates to a specific quantity of matter in a unified object, it could apply to distributed or fragmented matter, which makes it -U as it can refer to aggregates rather than cohesive wholes. Finally, the amount of matter can exist independently of objects as a property is relatively abstract and can be calculated without relying on the existence of individual items, leading to -D."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	-O	+U	-D	Sortal	"""PhysicalObject"" refers to any entity that occupies space and has mass, representing a broad category of entities in the physical universe. Rigidity: Physical objects cannot lose their property of being physical and still exist as the same entity, making them +R (Rigid). Identity: They carry criteria for identification as they possess properties that allow us to track their presence and changes through time (+I). Own Identity: However, ""PhysicalObject"" does not supply its own unique identity condition; instead, it inherits identity from more specific categories of physical entities (such as ""Table"" or ""Mountain""), leading to -O. Unity: Physical objects form integrated wholes where their parts contribute to the overall structure, indicating +U (Unifying). Dependence: Many physical objects can exist independently without requiring other entities to provide their existence, resulting in -D (Independent)."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	+I	-O	-U	+D	Collective	"""GroupOfPeople"" refers to a collection of individual persons considered together. As a collective term, the identity of the group is not fixed by the individuals within it — the same individuals can form different groups or even cease to exist as a group while remaining the same individuals. This phase-like nature makes it anti-rigid (~R). The group as a whole carries identity, as we can track a group of people over time and consider it as a unit even though its members may change (+I). It does not supply its own unique identity condition; the identity comes from the individuals themselves, leading to -O. While a group consists of its individual members, it is not a cohesive whole like a single organism, making it not necessarily unifying (-U). Groups also depend on their members to exist; without any individuals, the group cannot be said to exist (+D)."	
