term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"A ""Butterfly"" refers to a specific type of insect characterized by its distinctive metamorphosis and wing structure.  This is a natural kind,  meaning it represents a unified biological category with shared essential characteristics. A butterfly's identity is tied to its biological organization and development - it's not just about appearance, but about a specific life cycle and features. Being a butterfly is a defining characteristic for an individual organism. Thus it's rigid (+R). It carries its own identity criteria based on  its ontological features (+I and +O). Butterflies are integrated wholes with distinct boundaries, making them +U. They can exist independently (-D)."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Quality/Attribute	"""Red"" is a visual property, a quale, or a quality experienced by our senses.  It's not essential to the existence of anything.  An object can be red, then not red, or change shades, without ceasing to exist.  It doesn't provide criteria for identifying objects across time, nor does it define unique individuals. Colors aren't inherent parts of things, they belong to the perceptual realm."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	-U	-D	Attribute (Open Concept)	"""Food"" is a broad, descriptive term referring to substances consumed to provide nourishment.  It's not inherent to any entity, an apple can be food, but it's fundamentally an apple, not a food. This lack of essential nature makes it non-rigid (-R). ""Food"" doesn't inherently provide criteria for identifying individual instances - we identify specific foods by type, properties, etc. (+I).  It doesn't supply its own identity, but relies on the objects it describes. ""Food"" is a flux term, encompassing diverse, often non-unified collections. It doesn't inherently demand a bound whole, but rather a classification based on its function. Lastly, ""Food"" doesn't require the intrinsic existence of other entities for its meaning (-D)."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Animal"" is a fundamental biological category referring to a broad kind of living organism distinguished by certain characteristics like motility and heterotrophy. While individual animals can vary greatly, these characteristics are essential to their existence as animals. An entity ceases to be an animal if it loses these defining features (e.g., a domesticated animal losing its capacity for hunting). This essential nature makes ""Animal"" rigid (+R).  

The concept of ""Animal"" carries identity criteria - we distinguish individual animals based on their unique biological features and life histories (+I). ""Animal"" itself supplies its own identity condition based on shared biological features and life processes—it's not merely inheriting identity from a broader category like ""LivingBeing"" (+O).  

Animals are typically unified wholes, organized with integrated systems and parts that function together (+U). However,  there are some borderline cases like parasitic animals that may be exquisitely dependent on a host for part of their lifecycle.  Despite these exceptions, animals generally exist as autonomous entities (-D)"	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	"""RedApple"" combines the sortal ""Apple"" with the non-essential property ""Red"". An apple can be red or not red depending on factors like ripeness or environment. This means redness is not essential to being that specific apple, making it anti-rigid (~R).  It inherits its identity criteria from ""Apple"" (+I), as it's not a standalone identity bearer, so it doesn't possess its own (+O). Apples as a sortal are unified wholes (+U) and can exist independently (-D)."	
Group	http://example.org/guarino-messy#Group	~R	+I	-O	~U	-D	Collective	"""Group"" is a general term indicating a collection of individuals or things.  Its meaning is more about aggregation than essential unity.  A group can be formed and dissolved, with membership constantly changing.  Whether something is a ""group"" is largely contingent on the context and purpose of the collection.

Therefore, it lacks rigidity as its composition is flexible (~R). It can carry identity based on its members, but only if the members themselves have identity (+I). However, ""Group"" itself does not define distinct criteria for individual identity and thus doesn't supply its own (+O).  It often represents a temporary or limited aggregate rather than a unified entity (~U). However, it might occasionally be used to denote more persistent groups with specified roles or functions making its unity assessment context-dependent.


Finally, ""Group"" does not inherently depend on other entities, but its existence is fundamentally tied to its constituent elements (-D)."	
Country	http://example.org/guarino-messy#Country	-R	+I	-O	+U	-D	Role	"""Country"" refers to a politically organized territory with defined borders and governed by a specific authority. 

The concept of a ""country"" can change over time due to geopolitical shifts, such as mergers, separations, and regime changes.  An entity can cease to be a country and still retain its geographical and historical existence (e.g., the former Soviet Union). This makes it  -R (Non-Rigid).

A ""country""  identifies a distinct political entity, crucial for international relations, governance, and citizenship. It carries identity criteria to distinguish one political unit from another (+I). However,  the identity criteria for a ""country"" are largely social and political constructs, derived from treaties, agreements, and historical developments, rather than inherent natural properties.

Therefore, it doesn't supply its OWN identity condition but inherits it from a set of conventions and events (-O).

""Country"" denotes an integrated entity with its own government, population, and territory (+U). It can exist independently of other countries, although often interacting and dependent upon them for trade, diplomacy, etc. (-D)"	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	-U	+D	Quality/Attribute	"""AmountOfMatter"" refers to a measurable quantity of physical matter. It's not an inherent property that defines an object's essence, but rather a measurable characteristic. Whether an object has a small or large amount of matter doesn't change its fundamental nature. It's context-dependent and can change over time (e.g., adding or removing matter). Therefore, it's -R (Non-Rigid). 

It doesn't intrinsically carry criteria for identifying individuals across time or possible worlds, as the ""amount"" can vary. Hence, it lacks identity criteria (-I).  It doesn't supply its own identity condition, deriving it from the objects it's measured against.  It's -O (does not supply own IC).  Amount of matter isn't about cohesive wholes but a quantifiable aspect. Due to its quantifiable nature, it's -U (Non-Unifying).

It's dependent on objects having matter to be meaningfully measured. While a thing might exist without a specified amount of matter (+D)."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	-R	+I	-O	+U	-D	Sortal (Broad)	"""PhysicalObject"" is a broad term encompassing entities with material existence.  It's  difficult to say if  being physical is essential for all instances - could there be theoretical non-material entities that inadvertently exhibit physical characteristics?  This uncertainty makes it -R (Non-Rigid).  Since it's a fundamental category for grouping entities, it carries identity criteria (though not necessarily unique ones)  for individuation (+I).  However, it doesn't define a strict, unique set of identity conditions other than ones inherited from more specific types  (-O).  Physical objects are typically unified wholes with  bounded and consistent material existence (+U). They can often exist independently without being intrinsically dependent on other entities (-D)."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	+I	-O	~U	+D	Collective	"""GroupOfPeople"" is a collective entity, referring to a plurality of individuals who share a common affiliation or purpose.  Being a ""group"" is not an essential property of any individual person; a person can belong to multiple groups or be part of no group. This means it isn't rigid (~R). While ""GroupOfPeople"" can uniquely identify a specific set of people, its identity criteria rely on the identities of the individual people within it. This borrowed identity makes it dependent on individuals for its persistence (+I, -O).  A group is not inherently a unified whole—it's an arbitrary collection of individuals with potentially loose or shifting boundaries (~U)."	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""LivingBeing"" is a fundamental biological category referring to entities that exhibit the characteristics of life, such as metabolism, growth, reproduction, and adaptation. These characteristics are essential to their existence.  An entity can cease to be a living being upon death and no longer exhibit these traits. Therefore, ""LivingBeing"" is +R (Rigid). ""LivingBeing""  carries identity criteria -  living organisms maintain continuity through biological processes and have clear ways to individuate and persist across time (+I). ""LivingBeing"" provides its own identity condition based on its fundamental biological organization and life processes (+O), creating a kind of unified biological essence. Living beings are intrinsically cohesive wholes with integrated parts, displaying +U (Unifying) characteristics. Lastly, living beings, in their biological nature, can exist independently without depending on other specific entities for their existence (-D)."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	~R	+I	-O	~U	+D	Collective	"""SocialEntity"" refers to a being or structure created and maintained through social interactions, agreements, and norms.  Its essential nature lies in its interconnectedness with other individuals or social structures. Whether something is considered a social entity depends on the framework of social rules and understandings, which can vary across cultures and time. This makes it non-rigid because the boundaries and characteristics of a social entity can change based on these evolving social contexts. It carries identity based on membership, roles, and shared characteristics within a specific social framework (+I), but doesn't inherently define its own unique identity. ""SocialEntity"" generally depends on the existence and interactions of other individuals to maintain its form (~R). However, some social entities, like laws or institutions, might have a more enduring existence independent of specific individuals, making their dependence relationship more complex.  Their unity is fluid as social structures can be remarkably unified (e.g., nation-state) or less so (e.g., social movement), existing as networks or loose associations."	
Location	http://example.org/guarino-messy#Location	-R	-I	-O	-U	+D	Relation	"""Location"" refers to a place or position in space. It describes a circumstance or context rather than a thing with essential properties.  A particular object can occupy different locations over time.  An instance of ""Location"" doesn't inherently define or contain the identity properties of a thing itself. It is a spatial relation connected to constantly shifting scenarios. Therefore, ""+"" is not necessary for rigidness, but it is not necessarily non-rigid either.


Many entities can bear the relationship of ""Location""  - locations are not limited to independent objects."	
Fruit	http://example.org/guarino-messy#Fruit	-R	+I	-O	~U	-D	Broad Sortal (Natural Kind) or Mixin	"""Fruit"" refers to a broad biological category of matured ovaries containing seeds, found in flowering plants. While there are unifying characteristics of fruits (ovary origin, seed content), the specific features and internal organization can vary significantly across different types of fruits. This variation suggests that ""Fruit"" is not rigidly essential to its instances, as an entity can change its category (e.g., a tomato is botanically a fruit but often treated as a vegetable). It carries identity based on shared biological characteristics, but doesn't itself provide  unique, distinguishing criteria for individual fruits."	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Sortal	"""Vertebrate"" is a natural kind referring to a group of animals with a backbone. This defining characteristic is essential to their existence as vertebrates. An entity cannot be a vertebrate without possessing a backbone, making it +R (Rigid).  ""Vertebrate"" carries identity criteria by defining a distinct biological category with shared characteristics (+I).  As a natural kind, it supplies its own identity condition based on its biological category (+O). Vertebrates are unified wholes with distinct organs and systems working together (+U). While they may rely on other organisms for survival (food, environment), the possession of a vertebrate structure is intrinsic and not dependent on other entities for existence (-D)."	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	+I	-O	+U	+D	Role	"A ""Caterpillar"" refers to a distinct stage in the life cycle of a butterfly or moth.  While a caterpillar is a biological organism, its identity as a caterpillar is tied to this particular stage and is not essential to its continued existence. It transforms into a different state (a pupa) and eventually into an adult butterfly or moth. This makes it anti-rigid (~R) as the ""Caterpillar"" state is temporary and not a defining characteristic of its enduring nature. ""Caterpillar"" does carry identity based on the organism's biological processes and developmental stage, inheriting it from the broader biological category of insect (+I). However,  the ""Caterpillar"" identity is specific to this phase and relies on the overarching identity of the insect (+O) It is a biological individual with distinct traits and functions, adhering to the unity of an organism (+U), but it is dependent on its pre-existing insect identity and its subsequent transformation."	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Person"" refers to a highly complex entity characterized by consciousness, self-awareness, rationality, and the capacity for moral agency. These are essential features that define a person's enduring identity. We understand a person's persistence over time by their psychological and biological continuity - their memories, experiences, and physical body.  Because these core attributes are essential to a person's existence, ""Person"" is rigid (+R). It provides criteria for individuating and tracking the same entity across time and potentially different worlds (+I). It also supplies its own unique set of identity conditions based on these complex features (+O). A person is a unified whole, not merely a collection of parts (+U), and can exist independently of other specific entities (-D)."	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	+I	-O	+U	-D	Role	"""Legal Agent"" is a role or status assigned to entities with specific rights and responsibilities under a legal system. It's not an inherent, essential property; an entity can be a legal agent in certain contexts and not others (e.g., a minor can gain legal agency upon reaching a certain age). This makes it anti-rigid (~R). The concept provides criteria for identifying individuals who can act within a legal framework (+I), but those criteria are defined by the legal system, not by an inherent property of the entity itself (-O). Legal agents can be individuals or organizations, both of which can be viewed as unified wholes (+U). While they rely on legal systems and structures for their ""agential"" powers, they aren't bound to them in an intrinsic way (-D)."	
Entity	http://example.org/guarino-messy#Entity	~R	+I	-O	-U	-D	Concept	"""Entity"" is a broad philosophical term referring to anything that possesses existence or being.  It's a foundational concept used to capture the existence of anything whatsoever, regardless of specific properties. This makes ""Entity"" largely abstract and non-rigid, as its meaning doesn't depend on specific essential properties (~R). It lacks criteria to directly track individual entities across time or worlds, but it acts as a higher-level category that *can* encompass identifiable entities (+I). ""Entity"" itself doesn't define its own identity conditions but rather acts as a container for entities that *do* ( -O). ""Entity"" doesn't inherently imply unity; some entities are unified, others are not ( -U).  Entities exist independently of other concepts (-D)."	
Organization	http://example.org/guarino-messy#Organization	-R	+I	-O	+U	+D	Role	"""Organization"" refers to a structured entity composed of interacting parts, often with a defined purpose or function (e.g.,  businesses, governments, social groups).  While specific organizational structures can be rigid in some contexts, the fundamental concept of an organization is flexible.  An organization can change its structure, purpose, members, etc. without ceasing to be an organization.  This makes it -R (Non-Rigid).  

Organizations carry identity criteria based on their persistent structures, roles, and functions, though how precisely an organization persists across time and change can be complex (+I).  They inherit identity conditions from the members and relationships that make them up, rather than supplying a unique set of criteria (+O). Organizations, as collections of interacting parts, form cohesive wholes (+U). They often depend on external entities like legal frameworks, resources, or participants to exist and function (+D)."	
Agent	http://example.org/guarino-messy#Agent	-R	+I	-O	+U	-D	Role	"""Agent"" is a concept that is often used to describe entities capable of goal-directed action and intentional behavior. However, the term's meaning is context-dependent, and its core characteristics can be interpreted broadly.  

In its  broadest sense, an ""agent"" could refer to anything that produces effects on the world, from simple physical systems to advanced artificial intelligence. In a more restricted sense, ""agent"" might imply consciousness, rationality, or moral responsibility. 

Rigidity: The concept of ""agency"" is not rigidly linked to a specific form or identity. Entities can exhibit agency in diverse ways and across different contexts, and the expression of agency can change over time.  Therefore, ""Agent"" leans towards being non-rigid (-R). 

Identity: The identity of an agent is often tied to its ability to act intentionally and maintain a stable sense of self throughout its actions.  This suggests a level of identity grounding based on these capacities (+I).

Own Identity: ""Agent"" likely inherits its identity grounding from the specific entities it describes. It specifies a role or capacity rather than providing a unique and independent identity condition (-O).

Unity: Agency often implies a degree of internal unity and coordination. Agents, whether biological or artificial, need internal cohesiveness to translate intentions into actions (+U).

Dependence: Agents can operate independently or depend on other entities for resources, information, or guidance. This dependence can vary greatly depending on the nature of the agent (-D).

Classification: Given the characterization above, ""Agent"" is best classified as a **Role**."	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Apple"" refers to a specific kind of fruit,  characterized by certain biological features (like its shape, color, texture, growth habit, etc.).  These features are essential to what it means to be an apple. An entity that loses those features ceases to be an apple. Therefore, ""Apple"" is +R (Rigid).  An apple is individuated by its specific organismal identity, based on its biological features and ongoing existence, making it ""+I"" (carries identity). ""Apple"" supplies its own conditions for identity as a natural kind (+O) . It is a unified whole with its parts functionally interconnected (+U). Apples exist autonomously as bounded organisms (-D)."	
